"id","stage_id","kickoff_at_utc","group_round","home","away","actual_home","actual_away","status","display_order"
"m001","group-md1","2026-06-11T19:00:00.000Z","Group A","Mexico","South Africa","","","scheduled","1"
"m002","group-md1","2026-06-12T02:00:00.000Z","Group A","South Korea","Czech Republic","","","scheduled","2"
"m003","group-md1","2026-06-12T19:00:00.000Z","Group B","Canada","Bosnia and Herzegovina","","","scheduled","3"
"m004","group-md1","2026-06-13T01:00:00.000Z","Group D","United States","Paraguay","","","scheduled","4"
"m008","group-md1","2026-06-13T19:00:00.000Z","Group B","Qatar","Switzerland","","","scheduled","5"
"m007","group-md1","2026-06-13T22:00:00.000Z","Group C","Brazil","Morocco","","","scheduled","6"
"m005","group-md1","2026-06-14T01:00:00.000Z","Group C","Haiti","Scotland","","","scheduled","7"
"m006","group-md1","2026-06-14T04:00:00.000Z","Group D","Australia","Turkey","","","scheduled","8"
"m010","group-md1","2026-06-14T17:00:00.000Z","Group E","Germany","Curaçao","","","scheduled","9"
"m011","group-md1","2026-06-14T20:00:00.000Z","Group F","Netherlands","Japan","","","scheduled","10"
"m009","group-md1","2026-06-14T23:00:00.000Z","Group E","Ivory Coast","Ecuador","","","scheduled","11"
"m012","group-md1","2026-06-15T02:00:00.000Z","Group F","Sweden","Tunisia","","","scheduled","12"
"m014","group-md1","2026-06-15T16:00:00.000Z","Group H","Spain","Cape Verde","","","scheduled","13"
"m016","group-md1","2026-06-15T19:00:00.000Z","Group G","Belgium","Egypt","","","scheduled","14"
"m013","group-md1","2026-06-15T22:00:00.000Z","Group H","Saudi Arabia","Uruguay","","","scheduled","15"
"m015","group-md1","2026-06-16T01:00:00.000Z","Group G","Iran","New Zealand","","","scheduled","16"
"m017","group-md1","2026-06-16T19:00:00.000Z","Group I","France","Senegal","","","scheduled","17"
"m018","group-md1","2026-06-16T22:00:00.000Z","Group I","Iraq","Norway","","","scheduled","18"
"m019","group-md1","2026-06-17T01:00:00.000Z","Group J","Argentina","Algeria","","","scheduled","19"
"m020","group-md1","2026-06-17T04:00:00.000Z","Group J","Austria","Jordan","","","scheduled","20"
